tag,lpns_distintas
A1802,4
A1908,4
A6493,4
A6747,4
A7164,4
A8289,4
A8969,4
A9334,4
TA0620,4
TA0682,4
TA1105,4
A0117,3
A0280,3
A0287,3
A0522,3
A0719,3
A0727,3
A1001,3
A1037,3
A1049,3
A1072,3
A1197,3
A1392,3
A1433,3
A1632,3
A1633,3
A1881,3
A1899,3
A1913,3
A2039,3
A2077,3
A2142,3
A2478,3
A2661,3
A2662,3
A2706,3
A2716,3
A2753,3
A2804,3
A2832,3
A2876,3
A2954,3
A3062,3
A3082,3
A3152,3
A3177,3
A3184,3
A3185,3
A3202,3
A3258,3
A3302,3
A3315,3
A3366,3
A3461,3
A3468,3
A3566,3
A3576,3
A3630,3
A3646,3
A3655,3
A3656,3
A3729,3
A3744,3
A3747,3
A3761,3
A3933,3
A4117,3
A4242,3
A4278,3
A4281,3
A4287,3
A4318,3
A4324,3
A4327,3
A4359,3
A4586,3
A4599,3
A4600,3
A4622,3
A4652,3
A4668,3
A4723,3
A4725,3
A4731,3
A4749,3
A4998,3
A5006,3
A5015,3
A5059,3
A5107,3
A5193,3
A5210,3
A5226,3
A5235,3
A5285,3
A5378,3
A5582,3
A5601,3
A5615,3
A5726,3
A5735,3
A5781,3
A5830,3
A5832,3
A5860,3
A5884,3
A5892,3
A5898,3
A5989,3
A6008,3
A6021,3
A6036,3
A6235,3
A6278,3
A6335,3
A6345,3
A6356,3
A6358,3
A6374,3
A6469,3
A6479,3
A6500,3
A6501,3
A6535,3
A6541,3
A6543,3
A6569,3
A6574,3
A6633,3
A6665,3
A6698,3
A6718,3
A6849,3
A6856,3
A6861,3
A6894,3
A6903,3
A6948,3
A6993,3
A7011,3
A7038,3
A7054,3
A7060,3
A7110,3
A7119,3
A7133,3
A7146,3
A7167,3
A7183,3
A7197,3
A7266,3
A7270,3
A7273,3
A7278,3
A7286,3
A7312,3
A7321,3
A7332,3
A7338,3
A7341,3
A7342,3
A7357,3
A7444,3
A7466,3
A7477,3
A7499,3
A7511,3
A7613,3
A7618,3
A7691,3
A7733,3
A7748,3
A7763,3
A7785,3
A7859,3
A7870,3
A7917,3
A7928,3
A8097,3
A8120,3
A8149,3
A8151,3
A8152,3
A8181,3
A8245,3
A8268,3
A8279,3
A8291,3
A8308,3
A8318,3
A8340,3
A8355,3
A8397,3
A8458,3
A8462,3
A8467,3
A8517,3
A8559,3
A8561,3
A8601,3
A8605,3
A8607,3
A8626,3
A8646,3
A8648,3
A8672,3
A8696,3
A8704,3
A8727,3
A8779,3
A8846,3
A8918,3
A8931,3
A8965,3
A8975,3
A8984,3
A8986,3
A8992,3
A9013,3
A9050,3
A9054,3
A9165,3
A9232,3
A9251,3
A9267,3
A9296,3
A9303,3
A9331,3
A9354,3
A9433,3
A9463,3
A9534,3
A9567,3
A9581,3
A9625,3
A9643,3
A9676,3
TA0232,3
TA0295,3
TA0296,3
TA0348,3
TA0352,3
TA0394,3
TA0407,3
TA0469,3
TA0512,3
TA0538,3
TA0565,3
TA0710,3
TA0787,3
TA0806,3
TA0819,3
TA0822,3
TA0851,3
TA0883,3
TA0915,3
TA0943,3
TA0960,3
TA0976,3
TA0986,3
TA1022,3
TA1051,3
TA1101,3
TA1128,3
TA1160,3
TA1172,3
TA1225,3
869170034874496,2
869170034874686,2
869170034875006,2
869170034875378,2
869170034875428,2
869170034875493,2
869170034876020,2
869170034876111,2
869170034876368,2
869170034876459,2
869170034876715,2
869170034876749,2
869170034876806,2
869170034877770,2
869170034877788,2
869170034878521,2
869170034879453,2
869170034879586,2
869170034879594,2
869170034879677,2
869170034880725,2
869170034880824,2
869170034882341,2
869170034882366,2
869170034882945,2
869170034885583,2
869170034885609,2
869170034885674,2
869170034886946,2
869170034889643,2
869170034889650,2
869170034890153,2
869170035491530,2
869170035494781,2
869170035501775,2
869170035502021,2
869170035503607,2
869170035503748,2
869170035510313,2
869170035512699,2
869170035513507,2
869170035517607,2
869170035518829,2
869170035519025,2
869170035519066,2
869170035520551,2
A0003,2
A0052,2
A0071,2
A0081,2
A0092,2
A0094,2
A0133,2
A0143,2
A0158,2
A0163,2
A0168,2
A0173,2
A0177,2
A0185,2
A0189,2
A0204,2
A0218,2
A0222,2
A0244,2
A0252,2
A0255,2
A0256,2
A0259,2
A0276,2
A0288,2
A0315,2
A0335,2
A0339,2
A0342,2
A0349,2
A0379,2
A0393,2
A0402,2
A0430,2
A0431,2
A0447,2
A0461,2
A0477,2
A0527,2
A0532,2
A0542,2
A0597,2
A0618,2
A0662,2
A0668,2
A0676,2
A0680,2
A0695,2
A0718,2
A0760,2
A0766,2
A0773,2
A0774,2
A0805,2
A0807,2
A0819,2
A0830,2
A0839,2
A0893,2
A0902,2
A1013,2
A1056,2
A1070,2
A1077,2
A1105,2
A1108,2
A1173,2
A1180,2
A1220,2
A1224,2
A1275,2
A1292,2
A1299,2
A1306,2
A1317,2
A1347,2
A1360,2
A1369,2
A1391,2
A1406,2
A1458,2
A1466,2
A1480,2
A1495,2
A1502,2
A1510,2
A1539,2
A1541,2
A1548,2
A1567,2
A1603,2
A1621,2
A1622,2
A1634,2
A1645,2
A1646,2
A1679,2
A1705,2
A1706,2
A1736,2
A1755,2
A1766,2
A1768,2
A1778,2
A1787,2
A1808,2
A1817,2
A1831,2
A1903,2
A1914,2
A1927,2
A1933,2
A1954,2
A1961,2
A1969,2
A1984,2
A1989,2
A2006,2
A2047,2
A2051,2
A2075,2
A2111,2
A2119,2
A2144,2
A2148,2
A2160,2
A2175,2
A2177,2
A2181,2
A2187,2
A2203,2
A2214,2
A2216,2
A2222,2
A2224,2
A2241,2
A2249,2
A2256,2
A2269,2
A2282,2
A2318,2
A2355,2
A2389,2
A2398,2
A2410,2
A2414,2
A2426,2
A2459,2
A2469,2
A2474,2
A2493,2
A2505,2
A2518,2
A2534,2
A2549,2
A2556,2
A2560,2
A2575,2
A2578,2
A2587,2
A2588,2
A2595,2
A2597,2
A2608,2
A2633,2
A2641,2
A2656,2
A2672,2
A2695,2
A2697,2
A2699,2
A2733,2
A2739,2
A2757,2
A2759,2
A2808,2
A2816,2
A2823,2
A2833,2
A2856,2
A2863,2
A2890,2
A2896,2
A2926,2
A2927,2
A2948,2
A2951,2
A2959,2
A2968,2
A2981,2
A2983,2
A2995,2
A2999,2
A3001,2
A3012,2
A3018,2
A3028,2
A3039,2
A3042,2
A3052,2
A3053,2
A3058,2
A3081,2
A3085,2
A3112,2
A3116,2
A3121,2
A3128,2
A3129,2
A3130,2
A3139,2
A3142,2
A3155,2
A3186,2
A3221,2
A3246,2
A3268,2
A3278,2
A3287,2
A3291,2
A3327,2
A3331,2
A3346,2
A3351,2
A3368,2
A3382,2
A3405,2
A3409,2
A3414,2
A3422,2
A3444,2
A3457,2
A3467,2
A3470,2
A3478,2
A3487,2
A3489,2
A3514,2
A3522,2
A3534,2
A3541,2
A3562,2
A3571,2
A3577,2
A3588,2
A3596,2
A3607,2
A3619,2
A3633,2
A3637,2
A3641,2
A3649,2
A3657,2
A3668,2
A3675,2
A3680,2
A3705,2
A3719,2
A3727,2
A3733,2
A3737,2
A3740,2
A3754,2
A3755,2
A3771,2
A3773,2
A3775,2
A3778,2
A3782,2
A3789,2
A3802,2
A3813,2
A3819,2
A3821,2
A3838,2
A3844,2
A3847,2
A3856,2
A3861,2
A3866,2
A3871,2
A3874,2
A3899,2
A3916,2
A3924,2
A3946,2
A3966,2
A3990,2
A3999,2
A4008,2
A4061,2
A4082,2
A4111,2
A4124,2
A4126,2
A4139,2
A4140,2
A4153,2
A4162,2
A4182,2
A4188,2
A4223,2
A4232,2
A4233,2
A4236,2
A4273,2
A4282,2
A4289,2
A4297,2
A4304,2
A4322,2
A4333,2
A4354,2
A4356,2
A4366,2
A4383,2
A4387,2
A4401,2
A4412,2
A4426,2
A4444,2
A4446,2
A4470,2
A4473,2
A4474,2
A4475,2
A4482,2
A4483,2
A4484,2
A4500,2
A4510,2
A4511,2
A4521,2
A4566,2
A4580,2
A4618,2
A4645,2
A4685,2
A4688,2
A4693,2
A4694,2
A4695,2
A4702,2
A4706,2
A4730,2
A4734,2
A4735,2
A4745,2
A4748,2
A4750,2
A4756,2
A4774,2
A4777,2
A4781,2
A4784,2
A4788,2
A4790,2
A4794,2
A4803,2
A4806,2
A4807,2
A4827,2
A4835,2
A4836,2
A4843,2
A4846,2
A4853,2
A4862,2
A4871,2
A4882,2
A4886,2
A4891,2
A4894,2
A4901,2
A4907,2
A4909,2
A4914,2
A4919,2
A4929,2
A4949,2
A4967,2
A4987,2
A4992,2
A4993,2
A4996,2
A5001,2
A5018,2
A5033,2
A5035,2
A5043,2
A5048,2
A5053,2
A5061,2
A5064,2
A5067,2
A5077,2
A5092,2
A5104,2
A5109,2
A5115,2
A5124,2
A5128,2
A5132,2
A5156,2
A5163,2
A5190,2
A5195,2
A5196,2
A5215,2
A5228,2
A5231,2
A5236,2
A5271,2
A5277,2
A5315,2
A5323,2
A5332,2
A5334,2
A5368,2
A5408,2
A5421,2
A5430,2
A5434,2
A5439,2
A5440,2
A5451,2
A5455,2
A5466,2
A5477,2
A5484,2
A5492,2
A5509,2
A5513,2
A5514,2
A5525,2
A5529,2
A5533,2
A5538,2
A5545,2
A5547,2
A5555,2
A5569,2
A5577,2
A5593,2
A5611,2
A5622,2
A5648,2
A5652,2
A5659,2
A5663,2
A5675,2
A5677,2
A5686,2
A5698,2
A5705,2
A5741,2
A5744,2
A5749,2
A5756,2
A5759,2
A5767,2
A5768,2
A5772,2
A5783,2
A5785,2
A5788,2
A5790,2
A5791,2
A5800,2
A5809,2
A5819,2
A5825,2
A5836,2
A5840,2
A5841,2
A5846,2
A5853,2
A5856,2
A5858,2
A5861,2
A5863,2
A5868,2
A5870,2
A5878,2
A5902,2
A5907,2
A5922,2
A5924,2
A5927,2
A5930,2
A5951,2
A5955,2
A5956,2
A5958,2
A5962,2
A5969,2
A5971,2
A5988,2
A5991,2
A6000,2
A6011,2
A6012,2
A6029,2
A6031,2
A6035,2
A6039,2
A6041,2
A6048,2
A6049,2
A6051,2
A6061,2
A6065,2
A6067,2
A6071,2
A6078,2
A6094,2
A6113,2
A6124,2
A6126,2
A6128,2
A6129,2
A6138,2
A6145,2
A6147,2
A6153,2
A6156,2
A6157,2
A6165,2
A6167,2
A6170,2
A6177,2
A6183,2
A6184,2
A6185,2
A6193,2
A6200,2
A6201,2
A6204,2
A6205,2
A6211,2
A6214,2
A6215,2
A6217,2
A6225,2
A6228,2
A6240,2
A6241,2
A6248,2
A6263,2
A6279,2
A6280,2
A6284,2
A6294,2
A6309,2
A6310,2
A6313,2
A6316,2
A6318,2
A6328,2
A6334,2
A6336,2
A6337,2
A6351,2
A6353,2
A6355,2
A6364,2
A6379,2
A6387,2
A6393,2
A6396,2
